,Id,MSSubClass,MSZoning,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,Total_Bathrooms,Total_porch_SF,hasPool,hasBasement,hasFirePlaces,has2ndFloor,GrupoPrecio
11,11,1_story_1946_,RL,9.32375833901174,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1960_1990,1960_1990,Hip,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,Unf,6.81014245011514,Unf,0,4.90527477843843,1040,GasA,Ex,Y,SBrkr,1040,0,0,6.94793706861497,1,0,1,0,3,0.693147180559945,TA,5,Typ,0,NA,Detchd,1965,Unf,1,384,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,2,2008,WD,Normal,11.7714361601217,7.64012317269536,2,0,False,True,False,False,Muy Barato
12,12,2_story_1946_,RL,9.38639231575654,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,1990_,1990_,Hip,CompShg,WdShing,Wd Shng,Stone,286,Ex,TA,PConc,Ex,TA,No,Unf,6.90675477864855,Unf,0,5.18178355029209,1175,GasA,Ex,Y,SBrkr,1182,1142,0,7.75147531802146,1,0,3,0,4,0.693147180559945,Ex,11,Typ,2,Gd,BuiltIn,2005,Fin,3,736,TA,TA,Y,147,21,0,0,0,0,NA,NA,NA,0,7,2006,New,Partial,12.7512996960135,8.16023249236769,4,168,False,True,True,True,Muy Caro
13,14,1_story_1946_,RL,9.2735968216112,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,1990_,1990_,Gable,CompShg,VinylSd,VinylSd,Stone,306,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,7.30988148582479,1494,GasA,Ex,Y,SBrkr,1494,0,0,7.30988148582479,0,0,2,0,3,0.693147180559945,Gd,7,Typ,1,Gd,Attchd,2006,RFn,3,840,TA,TA,Y,160,33,0,0,0,0,NA,NA,NA,0,8,2007,New,Partial,12.5407575715773,8.00235954625271,2,193,False,True,True,False,Muy Caro
14,15,1_story_1946_,RL,9.29844282019773,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1930_1960,1930_1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212,TA,TA,CBlock,TA,TA,No,Unf,6.59850902861452,Unf,0,6.25575004175337,1253,GasA,TA,Y,SBrkr,1253,0,0,7.13409372119287,1,0,1,1,2,0.693147180559945,TA,5,Typ,1,Fa,Attchd,1960,RFn,1,352,TA,TA,Y,0,213,176,0,0,0,NA,GdWo,NA,0,5,2008,WD,Normal,11.9640010843304,7.82644313545601,2.5,389,False,True,True,False,Barato
15,16,1_5_story_unf,RM,8.71948076085107,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1900_1930,1990_,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,6.72503364216684,832,GasA,Ex,Y,FuseA,854,0,0,6.75110146893676,0,0,1,0,2,0.693147180559945,TA,5,Typ,0,NA,Detchd,1991,Unf,2,576,TA,TA,Y,48,112,0,0,0,0,NA,GdPrv,NA,0,7,2007,WD,Normal,11.7905572015685,7.4301141385618,1,160,False,True,False,False,Muy Barato
16,17,1_story_1946_,RL,9.32741204356202,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1960_1990,1960_1990,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180,TA,TA,CBlock,TA,TA,No,Unf,6.361302477573,Unf,0,6.05678401322862,1004,GasA,Ex,Y,SBrkr,1004,0,0,6.91274282049318,1,0,1,0,2,0.693147180559945,TA,5,Typ,1,TA,Attchd,1970,Fin,2,480,TA,TA,Y,0,0,0,0,0,0,NA,NA,Shed,700,3,2010,WD,Normal,11.9117015849276,7.60489448081162,2,0,False,True,True,False,Barato
17,18,duplex_all_style_age,RL,9.28656039788759,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1960_1990,1960_1990,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,Slab,NA,NA,NA,NA,0,NA,0,0,0,GasA,TA,Y,SBrkr,1296,0,0,7.16780918431644,0,0,2,0,2,1.09861228866811,TA,6,Typ,0,NA,CarPort,1967,Unf,2,516,TA,TA,Y,0,0,0,0,0,0,NA,NA,Shed,500,10,2006,WD,Normal,11.4075649493124,7.16703787691222,2,0,False,False,False,False,Muy Barato
18,19,1_story_1946_,RL,9.52485909838152,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,1990_,1990_,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,TA,TA,No,Unf,6.4723462945009,Unf,0,6.15060276844628,1114,GasA,Ex,Y,SBrkr,1114,0,0,7.01660968389422,1,0,1,1,3,0.693147180559945,Gd,6,Typ,0,NA,Detchd,2004,Unf,2,576,TA,TA,Y,0,102,0,0,0,0,NA,NA,NA,0,6,2008,WD,Normal,11.9766594812024,7.70885960104718,2.5,102,False,True,False,False,Barato
19,20,1_story_1946_,RL,8.93075873555827,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1930_1960,1960_1990,Hip,CompShg,BrkFace,Plywood,None,0,TA,TA,CBlock,TA,TA,No,Unf,6.22455842927536,Unf,0,6.26530121273771,1029,GasA,TA,Y,SBrkr,1339,0,0,7.20042489294496,0,0,1,0,3,0.693147180559945,TA,6,Min1,0,NA,Attchd,1958,Unf,1,294,TA,TA,Y,0,0,0,0,0,0,NA,MnPrv,NA,0,5,2009,COD,Abnorml,11.8422292121128,7.7698009960039,1,0,False,True,False,False,Muy Barato
20,21,2_story_1946_,RL,9.56212336983449,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,1990_,1990_,Gable,CompShg,VinylSd,VinylSd,BrkFace,380,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,7.05531284333975,1158,GasA,Ex,Y,SBrkr,1158,1218,0,7.77359446736019,0,0,3,1,4,0.693147180559945,Gd,9,Typ,1,Gd,BuiltIn,2005,RFn,3,853,TA,TA,Y,240,154,0,0,0,0,NA,NA,NA,0,11,2006,New,Partial,12.6925031124614,8.17018565287964,3.5,394,False,True,True,True,Muy Caro
21,22,1_5_story_unf,RM,8.9159693113736,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1900_1930,1930_1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,6.45833828334479,637,GasA,Ex,Y,FuseF,1108,0,0,7.01121398735037,0,0,1,0,3,0.693147180559945,Gd,6,Typ,1,Gd,Attchd,1930,Unf,1,280,TA,TA,N,0,0,205,0,0,0,NA,GdPrv,NA,0,6,2007,WD,Normal,11.8451027773086,7.46450983463653,1,205,False,True,True,False,Muy Barato
22,23,1_story_1946_,RL,9.18430435742534,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,1990_,1990_,Hip,CompShg,VinylSd,VinylSd,BrkFace,281,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,7.48324441607385,1777,GasA,Ex,Y,SBrkr,1795,0,0,7.49331724886215,0,0,2,0,3,0.693147180559945,Gd,7,Typ,1,Gd,Attchd,2002,RFn,2,534,TA,TA,Y,171,159,0,0,0,0,NA,NA,NA,0,9,2008,WD,Normal,12.3458345879053,8.18088094199639,2,330,False,True,True,False,Muy Caro
23,24,1_story_PUD_1946_,RM,8.34877453979127,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1960_1990,1960_1990,Gable,CompShg,CemntBd,CmentBd,None,0,TA,TA,PConc,Gd,TA,No,Unf,6.73459165997295,Unf,0,5.30330490805908,1040,GasA,TA,Y,SBrkr,1060,0,0,6.96696713861398,1,0,1,0,3,0.693147180559945,TA,6,Typ,1,TA,Attchd,1976,Unf,2,572,TA,TA,Y,100,110,0,0,0,0,NA,NA,NA,0,6,2007,WD,Normal,11.7745202026587,7.64969262371151,2,210,False,True,True,False,Muy Barato
24,25,1_story_1946_,RL,9.01760477683336,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1960_1990,1990_,Gable,CompShg,Plywood,Plywood,None,0,TA,Gd,CBlock,TA,TA,Mn,ALQ,5.24174701505964,ALQ,668,5.32300997913841,1060,GasA,Ex,Y,SBrkr,1060,0,0,6.96696713861398,1,0,1,0,3,0.693147180559945,Gd,6,Typ,1,TA,Attchd,1968,Unf,1,270,TA,TA,Y,406,90,0,0,0,0,NA,MnPrv,NA,0,5,2010,WD,Normal,11.9447078813958,7.65917136766606,2,496,False,True,True,False,Barato
25,26,1_story_1946_,RL,9.56317796268366,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,1990_,1990_,Gable,CompShg,VinylSd,VinylSd,Stone,640,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,7.35691824235602,1566,GasA,Ex,Y,SBrkr,1600,0,0,7.37838371299671,0,0,2,0,3,0.693147180559945,Gd,7,Typ,1,Gd,Attchd,2007,RFn,3,890,TA,TA,Y,0,56,0,0,0,0,NA,NA,NA,0,7,2009,WD,Normal,12.4541039123522,8.06022424044096,2,56,False,True,True,False,Muy Caro
26,27,1_story_1946_,RL,8.88197518424887,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1930_1960,1990_,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,Mn,Rec,5.45958551414416,Rec,486,5.19849703126583,900,GasA,TA,Y,SBrkr,900,0,0,6.80350525760834,0,1,1,0,3,0.693147180559945,Gd,5,Typ,0,NA,Detchd,2005,Unf,2,576,TA,TA,Y,222,32,0,0,0,0,NA,NA,NA,0,5,2010,WD,Normal,11.8115474774603,7.49554194388426,1.5,254,False,True,False,False,Muy Barato
27,28,1_story_1946_,RL,9.3482745580655,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,1990_,1990_,Gable,CompShg,VinylSd,VinylSd,Stone,200,Gd,TA,PConc,Ex,TA,No,Unf,7.10578612948127,Unf,0,6.18826412308259,1704,GasA,Ex,Y,SBrkr,1704,0,0,7.44132038971762,1,0,2,0,3,0.693147180559945,Gd,7,Typ,1,Gd,Attchd,2008,RFn,3,772,TA,TA,Y,0,50,0,0,0,0,NA,NA,NA,0,5,2010,WD,Normal,12.6313403809345,8.13388088794921,3,50,False,True,True,False,Muy Caro
28,29,1_story_1946_,RL,9.70026917002919,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1930_1960,1990_,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,Gd,Unf,7.15305163493748,Unf,0,5.33753807970132,1484,GasA,TA,Y,SBrkr,1600,0,0,7.37838371299671,1,0,1,0,2,0.693147180559945,TA,6,Typ,2,Gd,Attchd,1957,RFn,1,319,TA,TA,Y,288,258,0,0,0,0,NA,NA,NA,0,12,2006,WD,Normal,12.2428866186529,8.03398273468322,2,546,False,True,True,False,Muy Caro
29,30,1_story_1945_,RM,8.75226531359572,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1900_1930,1930_1960,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,6.25575004175337,520,GasA,Fa,N,SBrkr,520,0,0,6.25575004175337,0,0,1,0,1,0.693147180559945,Fa,4,Typ,0,NA,Detchd,1920,Unf,1,240,Fa,TA,Y,49,0,87,0,0,0,NA,NA,NA,0,5,2008,WD,Normal,11.1345890242503,6.94697599213542,1,136,False,True,False,False,Muy Barato
30,32,1_story_1946_,RL,9.05310159554969,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1960_1990,1990_,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,7.11395610956603,1228,GasA,Gd,Y,SBrkr,1228,0,0,7.11395610956603,0,0,1,1,3,0.693147180559945,Gd,6,Typ,0,NA,Attchd,1966,Unf,1,271,TA,TA,Y,0,65,0,0,0,0,NA,MnPrv,NA,0,6,2008,WD,Normal,11.9140478236443,7.80628928926703,1.5,65,False,True,False,False,Barato
31,33,1_story_1946_,RL,9.3101857069459,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,1990_,1990_,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,7.11882624906208,1234,GasA,Ex,Y,SBrkr,1234,0,0,7.11882624906208,0,0,2,0,3,0.693147180559945,Gd,7,Typ,0,NA,Attchd,2007,RFn,2,484,TA,TA,Y,0,30,0,0,0,0,NA,NA,NA,0,1,2008,WD,Normal,12.1001564199386,7.81116338502528,2,30,False,True,False,False,Normal
32,34,1_story_1946_,RL,9.26416545867109,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1930_1960,1930_1960,Hip,CompShg,BrkFace,BrkFace,None,0,TA,TA,CBlock,TA,TA,No,Unf,6.92657703322272,Unf,0,5.9427993751267,1398,GasA,Gd,Y,SBrkr,1700,0,0,7.43897159239586,0,1,1,1,4,0.693147180559945,Gd,6,Typ,1,Gd,Attchd,1959,RFn,2,447,TA,TA,Y,0,38,0,0,0,0,NA,NA,NA,0,4,2010,WD,Normal,12.0167264737993,8.03851202097681,2,38,False,True,True,False,Barato
33,35,1_story_PUD_1946_,RL,8.89754559870933,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,1990_,1990_,Hip,CompShg,MetalSd,MetalSd,BrkFace,246,Ex,TA,PConc,Ex,TA,No,Unf,7.05098944706805,Unf,0,6.0137151560428,1561,GasA,Ex,Y,SBrkr,1561,0,0,7.35372233039963,1,0,2,0,2,0.693147180559945,Ex,6,Typ,1,Gd,Attchd,2005,Fin,2,556,TA,TA,Y,203,47,0,0,0,0,NA,NA,NA,0,8,2007,WD,Normal,12.5335762121686,8.04622910107538,3,250,False,True,True,False,Muy Caro
34,36,2_story_1946_,RL,9.50442689210096,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,1990_,1990_,Gable,CompShg,VinylSd,VinylSd,Stone,132,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,7.01929665371504,1117,GasA,Ex,Y,SBrkr,1132,1320,0,7.80506704425849,0,0,3,1,4,0.693147180559945,Gd,9,Typ,1,Gd,BuiltIn,2004,Fin,3,691,TA,TA,Y,113,32,0,0,0,0,NA,NA,NA,0,9,2006,WD,Normal,12.6410965558799,8.18004072349016,3.5,145,False,True,True,True,Muy Caro
35,38,1_story_1946_,RL,9.05169627853659,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1930_1960,1960_1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650,TA,TA,CBlock,TA,TA,No,Unf,7.10167597161944,Unf,0,4.44265125649032,1297,GasA,Gd,Y,SBrkr,1297,0,0,7.16857989726403,0,1,1,0,3,0.693147180559945,TA,5,Typ,1,TA,Attchd,1954,Fin,2,498,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,10,2009,WD,Normal,11.9381932003746,7.86095636487639,1.5,0,False,True,True,False,Barato
36,39,1_story_1946_,RL,8.97752520096524,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1930_1960,1990_,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Gd,CBlock,TA,TA,No,Unf,6.59578051396131,Unf,0,5.78996017089725,1057,GasA,TA,Y,SBrkr,1057,0,0,6.96413561241824,1,0,1,0,3,0.693147180559945,Gd,5,Typ,0,NA,Detchd,1953,Unf,1,246,TA,TA,Y,0,52,0,0,0,0,NA,NA,NA,0,1,2010,WD,Abnorml,11.5991031612113,7.65633716643018,2,52,False,True,False,False,Muy Barato
37,40,duplex_all_style_age,RL,8.70632484013874,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1930_1960,1930_1960,Gable,CompShg,AsbShng,Plywood,None,0,TA,TA,PConc,NA,NA,NA,NA,0,NA,0,0,0,GasA,TA,N,FuseP,1152,0,0,7.05012252026906,0,0,2,0,2,1.09861228866811,Fa,6,Typ,0,NA,NA,1966,NA,0,0,NA,NA,N,0,0,0,0,0,0,NA,NA,NA,0,6,2008,WD,AdjLand,11.3144745262464,7.04925484125584,2,0,False,False,False,False,Muy Barato
38,41,1_story_1946_,RL,9.0663545214478,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960_1990,1960_1990,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101,TA,TA,CBlock,TA,TA,No,Unf,6.46769872610435,Unf,0,6.10031895202006,1088,GasA,Ex,Y,SBrkr,1324,0,0,7.18916773842032,0,0,2,0,3,0.693147180559945,TA,6,Typ,1,TA,Attchd,1965,RFn,2,440,TA,TA,Y,0,138,0,0,0,0,NA,GdWo,NA,0,12,2006,WD,Abnorml,11.982929094216,7.78821155784708,2,138,False,True,True,False,Barato
39,42,1_story_1946_,RL,9.73542386748887,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1930_1960,1930_1960,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Gd,CBlock,TA,TA,Gd,Unf,6.87523208727658,Unf,0,5.95064255258773,1350,GasA,Gd,Y,SBrkr,1328,0,0,7.19218205871325,0,1,1,1,2,0.693147180559945,TA,5,Typ,2,Gd,Attchd,1959,RFn,1,308,TA,TA,P,0,104,0,0,0,0,NA,NA,NA,0,7,2007,WD,Normal,12.0435537160324,7.89282552625112,2,104,False,True,True,False,Normal
