"","Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","1stFlrSF","2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","TotalSF","Total_Bathrooms","Total_porch_SF","hasPool","hasFirePlaces","has2ndFloor","GrupoPrecio"
"11",11,"1_story_1946_","RL",70,11200,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,5,"1960_1970","1960_1970","Hip","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Unf",906,"Unf",0,134,1040,"GasA","Ex","Y","SBrkr",1040,0,0,1040,1,0,1,0,3,1,"TA",5,"Typ",0,"NA","Detchd",1965,"Unf",1,384,"TA","TA","Y",0,0,0,0,0,0,"NA","NA","NA",0,"2","2008","WD","Normal",129500,2080,2,0,"FALSE","FALSE",TRUE,"Barato"
"12",12,"2_story_1946_","RL",85,11924,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,"1990_","1990_","Hip","CompShg","WdShing","Wd Shng","Stone",286,"Ex","TA","PConc","Ex","TA","No","Unf",998,"Unf",0,177,1175,"GasA","Ex","Y","SBrkr",1182,1142,0,2324,1,0,3,0,4,1,"Ex",11,"Typ",2,"Gd","BuiltIn",2005,"Fin",3,736,"TA","TA","Y",147,21,0,0,0,0,"NA","NA","NA",0,"7","2006","New","Partial",345000,3499,4,168,"FALSE","FALSE",TRUE,"Normal"
"13",13,"1_story_1946_","RL",NA,12968,"Pave","NA","IR2","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,6,"1960_1970","1960_1970","Hip","CompShg","HdBoard","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","Unf",737,"Unf",0,175,912,"GasA","TA","Y","SBrkr",912,0,0,912,1,0,1,0,2,1,"TA",4,"Typ",0,"NA","Detchd",1962,"Unf",1,352,"TA","TA","Y",140,0,0,0,176,0,"NA","NA","NA",0,"9","2008","WD","Normal",144000,1824,2,316,"FALSE","FALSE",TRUE,"Barato"
"14",14,"1_story_1946_","RL",91,10652,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","Stone",306,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",0,1494,1494,"GasA","Ex","Y","SBrkr",1494,0,0,1494,0,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2006,"RFn",3,840,"TA","TA","Y",160,33,0,0,0,0,"NA","NA","NA",0,"8","2007","New","Partial",279500,2988,2,193,"FALSE","FALSE",TRUE,"Normal"
"15",15,"1_story_1946_","RL",NA,10920,"Pave","NA","IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,"1950_1960","1950_1960","Hip","CompShg","MetalSd","MetalSd","BrkFace",212,"TA","TA","CBlock","TA","TA","No","Unf",733,"Unf",0,520,1253,"GasA","TA","Y","SBrkr",1253,0,0,1253,1,0,1,1,2,1,"TA",5,"Typ",1,"Fa","Attchd",1960,"RFn",1,352,"TA","TA","Y",0,213,176,0,0,0,"NA","GdWo","NA",0,"5","2008","WD","Normal",157000,2506,2.5,389,"FALSE","FALSE",TRUE,"Barato"
"16",16,"1_5_story_unf","RM",51,6120,"Pave","NA","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Norm","Norm","1Fam","1.5Unf",7,8,"1920_1930","1990_","Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,832,832,"GasA","Ex","Y","FuseA",854,0,0,854,0,0,1,0,2,1,"TA",5,"Typ",0,"NA","Detchd",1991,"Unf",2,576,"TA","TA","Y",48,112,0,0,0,0,"NA","GdPrv","NA",0,"7","2007","WD","Normal",132000,1686,1,160,"FALSE","FALSE",TRUE,"Barato"
"17",17,"1_story_1946_","RL",NA,11241,"Pave","NA","IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,7,"1960_1970","1960_1970","Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",180,"TA","TA","CBlock","TA","TA","No","Unf",578,"Unf",0,426,1004,"GasA","Ex","Y","SBrkr",1004,0,0,1004,1,0,1,0,2,1,"TA",5,"Typ",1,"TA","Attchd",1970,"Fin",2,480,"TA","TA","Y",0,0,0,0,0,0,"NA","NA","Shed",700,"3","2010","WD","Normal",149000,2008,2,0,"FALSE","FALSE",TRUE,"Barato"
"18",18,"duplex_all_style_age","RL",72,10791,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","Duplex","1Story",4,5,"1960_1970","1960_1970","Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","Slab","NA","NA","NA","NA",0,"NA",0,0,0,"GasA","TA","Y","SBrkr",1296,0,0,1296,0,0,2,0,2,2,"TA",6,"Typ",0,"NA","CarPort",1967,"Unf",2,516,"TA","TA","Y",0,0,0,0,0,0,"NA","NA","Shed",500,"10","2006","WD","Normal",90000,1296,2,0,"FALSE","FALSE",TRUE,"Barato"
"19",19,"1_story_1946_","RL",66,13695,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","RRAe","Norm","1Fam","1Story",5,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No","Unf",646,"Unf",0,468,1114,"GasA","Ex","Y","SBrkr",1114,0,0,1114,1,0,1,1,3,1,"Gd",6,"Typ",0,"NA","Detchd",2004,"Unf",2,576,"TA","TA","Y",0,102,0,0,0,0,"NA","NA","NA",0,"6","2008","WD","Normal",159000,2228,2.5,102,"FALSE","FALSE",TRUE,"Barato"
"20",20,"1_story_1946_","RL",70,7560,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,"1950_1960","1960_1970","Hip","CompShg","BrkFace","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","Unf",504,"Unf",0,525,1029,"GasA","TA","Y","SBrkr",1339,0,0,1339,0,0,1,0,3,1,"TA",6,"Min1",0,"NA","Attchd",1958,"Unf",1,294,"TA","TA","Y",0,0,0,0,0,0,"NA","MnPrv","NA",0,"5","2009","COD","Abnorml",139000,2368,1,0,"FALSE","FALSE",TRUE,"Barato"
"21",21,"2_story_1946_","RL",101,14215,"Pave","NA","IR1","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","2Story",8,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","BrkFace",380,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",0,1158,1158,"GasA","Ex","Y","SBrkr",1158,1218,0,2376,0,0,3,1,4,1,"Gd",9,"Typ",1,"Gd","BuiltIn",2005,"RFn",3,853,"TA","TA","Y",240,154,0,0,0,0,"NA","NA","NA",0,"11","2006","New","Partial",325300,3534,3.5,394,"FALSE","FALSE",TRUE,"Normal"
"22",22,"1_5_story_unf","RM",57,7449,"Pave","Grvl","Reg","Bnk","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1.5Unf",7,7,"1920_1930","1940_1950","Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,637,637,"GasA","Ex","Y","FuseF",1108,0,0,1108,0,0,1,0,3,1,"Gd",6,"Typ",1,"Gd","Attchd",1930,"Unf",1,280,"TA","TA","N",0,0,205,0,0,0,"NA","GdPrv","NA",0,"6","2007","WD","Normal",139400,1745,1,205,"FALSE","FALSE",TRUE,"Barato"
"23",23,"1_story_1946_","RL",75,9742,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",8,5,"1990_","1990_","Hip","CompShg","VinylSd","VinylSd","BrkFace",281,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1777,1777,"GasA","Ex","Y","SBrkr",1795,0,0,1795,0,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2002,"RFn",2,534,"TA","TA","Y",171,159,0,0,0,0,"NA","NA","NA",0,"9","2008","WD","Normal",230000,3572,2,330,"FALSE","FALSE",TRUE,"Barato"
"24",24,"1_story_PUD_1946_","RM",44,4224,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","MeadowV","Norm","Norm","TwnhsE","1Story",5,7,"1970_1980","1970_1980","Gable","CompShg","CemntBd","CmentBd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",840,"Unf",0,200,1040,"GasA","TA","Y","SBrkr",1060,0,0,1060,1,0,1,0,3,1,"TA",6,"Typ",1,"TA","Attchd",1976,"Unf",2,572,"TA","TA","Y",100,110,0,0,0,0,"NA","NA","NA",0,"6","2007","WD","Normal",129900,2100,2,210,"FALSE","FALSE",TRUE,"Barato"
"25",25,"1_story_1946_","RL",NA,8246,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,8,"1960_1970","1990_","Gable","CompShg","Plywood","Plywood","None",0,"TA","Gd","CBlock","TA","TA","Mn","ALQ",188,"ALQ",668,204,1060,"GasA","Ex","Y","SBrkr",1060,0,0,1060,1,0,1,0,3,1,"Gd",6,"Typ",1,"TA","Attchd",1968,"Unf",1,270,"TA","TA","Y",406,90,0,0,0,0,"NA","MnPrv","NA",0,"5","2010","WD","Normal",154000,2120,2,496,"FALSE","FALSE",TRUE,"Barato"
"26",26,"1_story_1946_","RL",110,14230,"Pave","NA","Reg","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","Stone",640,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1566,1566,"GasA","Ex","Y","SBrkr",1600,0,0,1600,0,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2007,"RFn",3,890,"TA","TA","Y",0,56,0,0,0,0,"NA","NA","NA",0,"7","2009","WD","Normal",256300,3166,2,56,"FALSE","FALSE",TRUE,"Barato"
"27",27,"1_story_1946_","RL",60,7200,"Pave","NA","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,"1950_1960","1990_","Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","Mn","Rec",234,"Rec",486,180,900,"GasA","TA","Y","SBrkr",900,0,0,900,0,1,1,0,3,1,"Gd",5,"Typ",0,"NA","Detchd",2005,"Unf",2,576,"TA","TA","Y",222,32,0,0,0,0,"NA","NA","NA",0,"5","2010","WD","Normal",134800,1800,1.5,254,"FALSE","FALSE",TRUE,"Barato"
"28",28,"1_story_1946_","RL",98,11478,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","Stone",200,"Gd","TA","PConc","Ex","TA","No","Unf",1218,"Unf",0,486,1704,"GasA","Ex","Y","SBrkr",1704,0,0,1704,1,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2008,"RFn",3,772,"TA","TA","Y",0,50,0,0,0,0,"NA","NA","NA",0,"5","2010","WD","Normal",306000,3408,3,50,"FALSE","FALSE",TRUE,"Normal"
"29",29,"1_story_1946_","RL",47,16321,"Pave","NA","IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,"1950_1960","1990_","Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","Gd","Unf",1277,"Unf",0,207,1484,"GasA","TA","Y","SBrkr",1600,0,0,1600,1,0,1,0,2,1,"TA",6,"Typ",2,"Gd","Attchd",1957,"RFn",1,319,"TA","TA","Y",288,258,0,0,0,0,"NA","NA","NA",0,"12","2006","WD","Normal",207500,3084,2,546,"FALSE","FALSE",TRUE,"Barato"
"30",30,"1_story_1945_","RM",60,6324,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","BrkSide","Feedr","RRNn","1Fam","1Story",4,6,"1920_1930","1940_1950","Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,520,520,"GasA","Fa","N","SBrkr",520,0,0,520,0,0,1,0,1,1,"Fa",4,"Typ",0,"NA","Detchd",1920,"Unf",1,240,"Fa","TA","Y",49,0,87,0,0,0,"NA","NA","NA",0,"5","2008","WD","Normal",68500,1040,1,136,"FALSE","FALSE",TRUE,"Barato"
"31",31,"2_story_1945_","C (all)",50,8500,"Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","IDOTRR","Feedr","Norm","1Fam","2Story",4,4,"1910_1920","1940_1950","Gambrel","CompShg","BrkFace","BrkFace","None",0,"TA","Fa","BrkTil","TA","TA","No","Unf",0,"Unf",0,649,649,"GasA","TA","N","SBrkr",649,668,0,1317,0,0,1,0,3,1,"TA",6,"Typ",0,"NA","Detchd",1920,"Unf",1,250,"TA","Fa","N",0,54,172,0,0,0,"NA","MnPrv","NA",0,"7","2008","WD","Normal",40000,1966,1,226,"FALSE","FALSE",TRUE,"Barato"
"32",32,"1_story_1946_","RL",NA,8544,"Pave","NA","IR1","Lvl","AllPub","CulDSac","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,6,"1960_1970","1990_","Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,1228,1228,"GasA","Gd","Y","SBrkr",1228,0,0,1228,0,0,1,1,3,1,"Gd",6,"Typ",0,"NA","Attchd",1966,"Unf",1,271,"TA","TA","Y",0,65,0,0,0,0,"NA","MnPrv","NA",0,"6","2008","WD","Normal",149350,2456,1.5,65,"FALSE","FALSE",TRUE,"Barato"
"33",33,"1_story_1946_","RL",85,11049,"Pave","NA","Reg","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",8,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",0,1234,1234,"GasA","Ex","Y","SBrkr",1234,0,0,1234,0,0,2,0,3,1,"Gd",7,"Typ",0,"NA","Attchd",2007,"RFn",2,484,"TA","TA","Y",0,30,0,0,0,0,"NA","NA","NA",0,"1","2008","WD","Normal",179900,2468,2,30,"FALSE","FALSE",TRUE,"Barato"
"34",34,"1_story_1946_","RL",70,10552,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,"1950_1960","1950_1960","Hip","CompShg","BrkFace","BrkFace","None",0,"TA","TA","CBlock","TA","TA","No","Unf",1018,"Unf",0,380,1398,"GasA","Gd","Y","SBrkr",1700,0,0,1700,0,1,1,1,4,1,"Gd",6,"Typ",1,"Gd","Attchd",1959,"RFn",2,447,"TA","TA","Y",0,38,0,0,0,0,"NA","NA","NA",0,"4","2010","WD","Normal",165500,3098,2,38,"FALSE","FALSE",TRUE,"Barato"
"35",35,"1_story_PUD_1946_","RL",60,7313,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",9,5,"1990_","1990_","Hip","CompShg","MetalSd","MetalSd","BrkFace",246,"Ex","TA","PConc","Ex","TA","No","Unf",1153,"Unf",0,408,1561,"GasA","Ex","Y","SBrkr",1561,0,0,1561,1,0,2,0,2,1,"Ex",6,"Typ",1,"Gd","Attchd",2005,"Fin",2,556,"TA","TA","Y",203,47,0,0,0,0,"NA","NA","NA",0,"8","2007","WD","Normal",277500,3122,3,250,"FALSE","FALSE",TRUE,"Normal"
"36",36,"2_story_1946_","RL",108,13418,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",8,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","Stone",132,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",0,1117,1117,"GasA","Ex","Y","SBrkr",1132,1320,0,2452,0,0,3,1,4,1,"Gd",9,"Typ",1,"Gd","BuiltIn",2004,"Fin",3,691,"TA","TA","Y",113,32,0,0,0,0,"NA","NA","NA",0,"9","2006","WD","Normal",309000,3569,3.5,145,"FALSE","FALSE",TRUE,"Normal"
"37",37,"1_story_1946_","RL",112,10859,"Pave","NA","Reg","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1097,1097,"GasA","Ex","Y","SBrkr",1097,0,0,1097,0,0,1,1,3,1,"TA",6,"Typ",0,"NA","Attchd",1995,"Unf",2,672,"TA","TA","Y",392,64,0,0,0,0,"NA","NA","NA",0,"6","2009","WD","Normal",145000,2194,1.5,456,"FALSE","FALSE",TRUE,"Barato"
"38",38,"1_story_1946_","RL",74,8532,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,"1950_1960","1980_1990","Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",650,"TA","TA","CBlock","TA","TA","No","Unf",1213,"Unf",0,84,1297,"GasA","Gd","Y","SBrkr",1297,0,0,1297,0,1,1,0,3,1,"TA",5,"Typ",1,"TA","Attchd",1954,"Fin",2,498,"TA","TA","Y",0,0,0,0,0,0,"NA","NA","NA",0,"10","2009","WD","Normal",153000,2594,1.5,0,"FALSE","FALSE",TRUE,"Barato"
"39",39,"1_story_1946_","RL",68,7922,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,"1950_1960","1990_","Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","No","Unf",731,"Unf",0,326,1057,"GasA","TA","Y","SBrkr",1057,0,0,1057,1,0,1,0,3,1,"Gd",5,"Typ",0,"NA","Detchd",1953,"Unf",1,246,"TA","TA","Y",0,52,0,0,0,0,"NA","NA","NA",0,"1","2010","WD","Abnorml",109000,2114,2,52,"FALSE","FALSE",TRUE,"Barato"
"40",40,"duplex_all_style_age","RL",65,6040,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","Duplex","1Story",4,5,"1950_1960","1950_1960","Gable","CompShg","AsbShng","Plywood","None",0,"TA","TA","PConc","NA","NA","NA","NA",0,"NA",0,0,0,"GasA","TA","N","FuseP",1152,0,0,1152,0,0,2,0,2,2,"Fa",6,"Typ",0,"NA","NA",1966,"NA",0,0,"NA","NA","N",0,0,0,0,0,0,"NA","NA","NA",0,"6","2008","WD","AdjLand",82000,1152,2,0,"FALSE","FALSE",TRUE,"Barato"
