"","MSSubClass","MSZoning","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","1stFlrSF","2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","TotalSF","Total_Bathrooms","Total_porch_SF","hasPool","hasBasement","hasFirePlaces","has2ndFloor","GrupoPrecio"
"11","1_story_1946_","RL",-0.229210452004517,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,"1960_1990","1990_","Gable","CompShg","MetalSd","MetalSd","None",-0.644760428806657,"TA","TA","CBlock","TA","TA","No","BLQ",0.629839790427461,"BLQ",-0.167086577382883,0.258954924687543,-0.232905845010887,"GasA","TA","Y","SBrkr",-0.107892026421598,-0.914952241455898,-0.123746348511058,-0.957616887803984,1.03381254240598,-0.268362461461244,-1.08929782237594,-0.811822603525268,0.128201691416335,-0.17542048164079,"Gd",-1.08737931408568,"Typ",-0.946407201358236,"NA","Attchd",-0.474994741292872,"RFn",-1.32054549543561,-1.03533168954316,"TA","TA","Y",-0.125202585682549,0.227681044096506,-0.343723937474906,-0.135897953653059,-0.276536832131601,0,"NA","NA","NA",-0.130244470789518,"3","2007","WD","Normal",-0.00332336287049089,-0.644776642359336,-0.313680608443329,-0.251664189107438,"False","True","False","False","Normal"
"12","1_story_1946_","FV",0.297186707076168,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","BrkFace",1.17608580843325,"Gd","TA","PConc","Gd","TA","Av","Unf",-1.52212046813172,"Unf",-0.331643014397708,1.00709784536396,1.50200280318734,"GasA","Ex","Y","SBrkr",1.41479633079265,-0.914952241455898,-0.123746348511058,0.394933757402955,-0.794187118669497,-0.268362461461244,0.751477611639102,-0.811822603525268,0.128201691416335,-0.17542048164079,"Gd",0.262994066662584,"Typ",0.575826068296276,"Gd","Attchd",1.10486942470148,"Fin",1.6801834175968,0.814671419189737,"TA","TA","Y",0.186571314208813,1.0976751589268,-0.343723937474906,-0.135897953653059,-0.276536832131601,0,"NA","NA","NA",-0.130244470789518,"6","2008","WD","Normal",0.135685371073704,1.02101671997974,-0.313680608443329,0.358424644734731,"False","True","True","False","Normal"
"13","2_5_story_all_ages","RL",1.05735675446015,"Pave","NA","Reg","Lvl","AllPub","Corner","Gtl","SWISU","Norm","Norm","1Fam","2.5Fin",7,3,"1900_1930","1960_1990","Gable","CompShg","Wd Sdng","Plywood","None",-0.644760428806657,"TA","TA","BrkTil","TA","TA","No","Unf",0.664118867742699,"Unf",-0.331643014397708,0.0502807965554524,-0.537917913962756,"GasA","Ex","Y","SBrkr",1.48914097029497,1.45430486447675,4.91930985903357,2.46113765977472,1.03381254240598,-0.268362461461244,0.751477611639102,1.12350449595015,2.76126719973644,-0.17542048164079,"TA",3.63892751853325,"Typ",2.09805933795079,"TA","Basment",-0.356504928843296,"Fin",0.179818961080594,0.87773970698745,"TA","TA","Y",0.207356240868237,0.212145434903108,-0.343723937474906,-0.135897953653059,-0.276536832131601,0,"NA","NA","NA",-0.130244470789518,"8","2009","WD","Normal",0.391379154904956,1.21347992761884,1.43116777602269,0.032238535551789,"False","True","True","True","Caro"
"14","split_foyer","RL",0.134180655842936,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","SFoyer",6,6,"1960_1990","1960_1990","Gable","CompShg","Plywood","Plywood","None",-0.644760428806657,"TA","TA","CBlock","TA","TA","Av","Unf",0.797600644052596,"Unf",-0.331643014397708,-0.397481532724556,-0.34759038293679,"GasA","Ex","Y","SBrkr",-0.606276461603839,-0.914952241455898,-0.123746348511058,-1.55346904450815,1.03381254240598,-0.268362461461244,-1.08929782237594,-0.811822603525268,-1.18833106274372,-0.17542048164079,"TA",-1.08737931408568,"Typ",0.575826068296276,"TA","Attchd",-0.0800286997942851,"Unf",-1.32054549543561,-0.809336991601354,"TA","TA","Y",1.47523676709311,-0.766597944280978,-0.343723937474906,-0.135897953653059,-0.276536832131601,0,"NA","MnPrv","NA",-0.130244470789518,"4","2009","WD","Normal",-0.211141385845214,-1.05336626631803,-0.313680608443329,0.757096555958327,"False","True","True","False","Barato"
"15","1_story_1946_","RL",0.00332367771604038,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","RRAe","Norm","1Fam","1Story",5,4,"1960_1990","1960_1990","Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",-0.326735914768179,"TA","TA","CBlock","TA","TA","No","Unf",-0.26134569157105,"Unf",-0.331643014397708,0.695280821416894,-0.137742079497904,"GasA","Ex","Y","SBrkr",-0.435559141265171,-0.914952241455898,-0.123746348511058,-1.33718572769571,1.03381254240598,-0.268362461461244,-1.08929782237594,-0.811822603525268,0.128201691416335,-0.17542048164079,"TA",-0.412192623711549,"Typ",-0.946407201358236,"NA","Detchd",-0.0800286997942851,"Unf",0.179818961080594,0.6254665557966,"TA","TA","Y",-0.734893767692323,-0.766597944280978,-0.343723937474906,-0.135897953653059,-0.276536832131601,0,"NA","NA","NA",-0.130244470789518,"7","2006","WD","Normal",0.133847590853248,-0.782738352807393,-0.313680608443329,-1.16981768162239,"False","True","False","False","Normal"
"16","PUD_multilevel","RM",-3.29772763798255,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","MeadowV","Norm","Norm","Twnhs","SLvl",4,6,"1960_1990","1960_1990","Gable","CompShg","CemntBd","CmentBd","None",-0.644760428806657,"TA","TA","CBlock","Gd","TA","Gd","Unf",0.601524647386165,"Unf",-0.331643014397708,-1.32612878714854,-1.42123286564737,"GasA","TA","Y","SBrkr",-1.70767852830492,0.181838122212322,-0.123746348511058,-1.33718572769571,1.03381254240598,-0.268362461461244,-1.08929782237594,-0.811822603525268,-2.50486381690378,-0.17542048164079,"TA",-1.76256600445982,"Typ",0.575826068296276,"Po","BuiltIn",-0.23801511639372,"RFn",-1.32054549543561,-1.09314428669106,"TA","TA","Y",-0.734893767692323,0.802498584252239,-0.343723937474906,5.53359480031051,-0.276536832131601,0,"NA","GdWo","NA",-0.130244470789518,"7","2008","WD","Normal",-0.761430335174359,-1.85865408863035,-0.313680608443329,0.165129172626321,"False","True","True","True","Barato"
"17","2_story_1946_","RL",0.551728283363573,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,"1990_","1990_","Gable","CompShg","CemntBd","CmentBd","BrkFace",1.65000469209844,"Gd","TA","PConc","Ex","TA","Av","Unf",0.967677859313512,"Unf",-0.331643014397708,-0.285602762785391,0.901739051490063,"GasA","Ex","Y","SBrkr",0.737434059771483,1.26201045006739,-0.123746348511058,1.52847489794328,1.03381254240598,-0.268362461461244,0.751477611639102,1.12350449595015,0.128201691416335,-0.17542048164079,"Ex",1.61336744741085,"Typ",0.575826068296276,"Gd","BuiltIn",1.02587621640176,"Fin",1.6801834175968,2.61737331207435,"TA","TA","Y",0.595341538510821,0.212145434903108,-0.343723937474906,-0.135897953653059,-0.276536832131601,0,"NA","NA","NA",-0.130244470789518,"8","2008","WD","Normal",0.229173200658658,1.43974621673834,1.43116777602269,0.370505611741507,"False","True","True","True","Caro"
"18","2_story_1946_","RL",0.362974799307256,"Pave","NA","Reg","Lvl","AllPub","FR2","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","BrkFace",-0.195784644281748,"Gd","TA","PConc","Gd","TA","No","Unf",-1.52212046813172,"Unf",-0.331643014397708,0.705204658793378,-0.184103913978588,"GasA","Ex","Y","SBrkr",-0.410777594764397,2.14276634816459,-0.123746348511058,1.46191794206894,-0.794187118669497,-0.268362461461244,0.751477611639102,1.12350449595015,1.44473444557639,-0.17542048164079,"Gd",0.938180757036717,"Typ",0.575826068296276,"TA","BuiltIn",0.828393195652464,"Fin",1.6801834175968,0.751603131392025,"TA","TA","Y",-0.734893767692323,0.103396170549321,-0.343723937474906,-0.135897953653059,-0.276536832131601,0,"NA","NA","NA",-0.130244470789518,"6","2007","WD","Normal",1.15511759409671,0.951215834176248,0.26793551971201,-0.831550605432669,"False","True","True","True","Caro"
"19","2_story_1946_","FV",0.293255357915736,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story",8,5,"1990_","1990_","Hip","CompShg","VinylSd","VinylSd","Stone",0.109768320186593,"Gd","TA","PConc","Ex","Gd","No","Unf",0.756646398732376,"Unf",-0.331643014397708,-0.130084982564953,-0.35247057604002,"GasA","Ex","Y","SBrkr",-0.653086049438635,1.18841629146627,-0.123746348511058,0.655987836446721,1.03381254240598,-0.268362461461244,0.751477611639102,1.12350449595015,0.128201691416335,-0.17542048164079,"Gd",0.938180757036717,"Typ",0.575826068296276,"Gd","Attchd",1.06537282055162,"Fin",1.6801834175968,1.45586567846648,"TA","TA","Y",0.429062125235428,-0.0674955305780596,-0.343723937474906,-0.135897953653059,-0.276536832131601,0,"NA","NA","NA",-0.130244470789518,"7","2009","WD","Normal",0.138665491543192,0.296001994334237,1.43116777602269,0.116805304599218,"False","True","True","True","Normal"
"20","1_story_1946_","RL",1.65602452364808,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1Story",5,4,"1930_1960","1990_","Hip","CompShg","HdBoard","HdBoard","BrkFace",-0.177077319926543,"TA","Fa","Slab","NA","NA","NA","NA",-1.52212046813172,"NA",-0.331643014397708,-3.1547874191401,-2.54855747249347,"GasA","TA","Y","SBrkr",1.7204354043022,-0.914952241455898,-0.123746348511058,0.611044208278255,-0.794187118669497,-0.268362461461244,-1.08929782237594,-0.811822603525268,0.128201691416335,-0.17542048164079,"TA",1.61336744741085,"Min1",0.575826068296276,"TA","Attchd",-0.751470970341883,"Unf",0.179818961080594,-0.888172351348494,"TA","TA","Y",-0.734893767692323,-0.766597944280978,-0.343723937474906,-0.135897953653059,-0.276536832131601,0,"NA","GdPrv","NA",-0.130244470789518,"11","2009","WD","Normal",-1.39425959333325,-1.16348505647174,-1.47691286475401,-1.16981768162239,"False","False","True","False","Barato"
"21","1_story_1946_","RL",-0.487794563236359,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story",5,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","None",-0.644760428806657,"TA","TA","PConc","Ex","Gd","No","Unf",0.883068077727703,"Unf",-0.331643014397708,-0.511488500660367,0.11114776876682,"GasA","Gd","Y","SBrkr",-0.154701614256395,-0.914952241455898,-0.123746348511058,-1.0092713122582,1.03381254240598,-0.268362461461244,-1.08929782237594,1.12350449595015,-1.18833106274372,-0.17542048164079,"TA",-1.08737931408568,"Typ",-0.946407201358236,"NA","Attchd",1.02587621640176,"Fin",0.179818961080594,-0.289023617270228,"TA","TA","Y",-0.734893767692323,-0.00535309380446682,-0.343723937474906,-0.135897953653059,-0.276536832131601,0,"NA","NA","NA",-0.130244470789518,"6","2007","WD","Normal",-0.361521168913265,-0.441202817931019,0.26793551971201,-0.873833989956384,"False","True","False","False","Barato"
"22","2_story_1946_","RL",-0.363433276135299,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",7,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","None",-0.644760428806657,"TA","TA","PConc","TA","TA","No","Unf",-1.52212046813172,"Unf",-0.331643014397708,0.719487005640273,-0.123101500188215,"GasA","Gd","Y","SBrkr",-0.325418934595062,0.927275728688125,-0.123746348511058,0.672687029102546,-0.794187118669497,-0.268362461461244,0.751477611639102,1.12350449595015,0.128201691416335,-0.17542048164079,"Gd",0.262994066662584,"Typ",0.575826068296276,"TA","Attchd",0.788896591502606,"Fin",0.179818961080594,-0.331069142468703,"TA","TA","Y",0.235069476414136,0.165538607322913,-0.343723937474906,-0.135897953653059,-0.276536832131601,0,"NA","NA","NA",-0.130244470789518,"6","2010","WD","Normal",0.253852459706591,0.426381893220338,0.26793551971201,0.0382790190551768,"False","True","True","True","Caro"
"23","2_story_1945_","RL",1.62383456549582,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","2Story",5,6,"1900_1930","1990_","Gable","CompShg","Wd Sdng","Wd Sdng","None",-0.644760428806657,"TA","TA","CBlock","TA","TA","Gd","Unf",0.984047559197578,"Unf",-0.331643014397708,-1.59862779013012,0.682130361844718,"GasA","Ex","Y","SBrkr",-0.204264707257943,0.281546337091251,-0.123746348511058,0.221563307064831,2.86181220348146,-0.268362461461244,-1.08929782237594,1.12350449595015,0.128201691416335,-0.17542048164079,"Gd",-0.412192623711549,"Typ",0.575826068296276,"TA","Attchd",-2.21284532388665,"RFn",0.179818961080594,0.120920253414902,"TA","TA","Y",-0.734893767692323,4.08051212405926,-0.343723937474906,-0.135897953653059,-0.276536832131601,0,"NA","NA","NA",-0.130244470789518,"5","2009","WD","Normal",0.810055029813007,0.550849468446656,1.43116777602269,0.714813171434612,"False","True","True","True","Caro"
"24","1_story_1946_","RL",-0.12136408580738,"Pave","NA","Reg","Lvl","AllPub","FR2","Gtl","Sawyer","Feedr","Norm","1Fam","1Story",5,5,"1960_1990","1960_1990","Gable","CompShg","HdBoard","HdBoard","None",-0.644760428806657,"TA","TA","CBlock","TA","TA","No","Unf",0.830134060122431,"Unf",-0.331643014397708,-0.762290370141693,-0.32318941742064,"GasA","TA","Y","SBrkr",-0.644825533938377,-0.914952241455898,-0.123746348511058,-1.60430766722107,-0.794187118669497,-0.268362461461244,-1.08929782237594,-0.811822603525268,0.128201691416335,-0.17542048164079,"TA",-1.08737931408568,"Typ",0.575826068296276,"Fa","Detchd",-0.198518512243861,"Unf",-1.32054549543561,-0.888172351348494,"TA","TA","Y",-0.734893767692323,-0.766597944280978,-0.343723937474906,-0.135897953653059,-0.276536832131601,0,"NA","MnPrv","NA",-0.130244470789518,"5","2010","WD","Normal",-1.1176530777594,-1.06098111894208,-1.47691286475401,-1.16981768162239,"False","True","True","False","Barato"
"25","1_story_1946_","RL",0.00332367771604038,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,"1930_1960","1930_1960","Hip","CompShg","HdBoard","HdBoard","BrkCmn",-0.214491968636952,"TA","TA","CBlock","TA","TA","No","Unf",-1.52212046813172,"Unf",-0.331643014397708,0.798298386196495,0.242912982554027,"GasA","TA","Y","SBrkr",-0.00601233525174824,-0.914952241455898,-0.123746348511058,-0.847879463422447,-0.794187118669497,-0.268362461461244,-1.08929782237594,-0.811822603525268,0.128201691416335,-0.17542048164079,"TA",-0.412192623711549,"Typ",0.575826068296276,"Gd","Attchd",-0.751470970341883,"RFn",-1.32054549543561,-0.888172351348494,"TA","TA","Y",-0.734893767692323,-0.766597944280978,-0.343723937474906,-0.135897953653059,-0.276536832131601,0,"NA","NA","NA",-0.130244470789518,"6","2007","WD","Normal",0.0972017220497972,-0.273118459006754,-1.47691286475401,-1.16981768162239,"False","True","True","False","Normal"
